Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time,Related DN's
16608057323940000023410,160665,Quality Of Service,Major,2022-08-18 14:55:29,Resource at or Nearing Capacity,343,SCDB Server Overload,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 14:55:39,WITHCANCEL,true,2022-08-18 14:55:38,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=11:PoolMemberId=0:Resource_type=scdbResource:scdbOverload"", ""additional_info"": ""SCDB is in overload. Number of (successful or timeout) DB operation in this interval=[28] Sum of round trip time in this interval=[352] Average round trip time of this interval=[12.571429] Number of timeout DB operation in this interval=[0] Average raw round trip time of this interval=[12.571429] Provisioned slow RTT threshold=[12]. "", ""host"": ""s3tas01-tafe-2"", ""container"": ""ca0699d1ad9c"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58176340,2022-08-18 14:55:33,2022-08-18 14:55:29,,2022-08-18 14:55:29 +08:00,2022-08-18 14:55:29 +08:00,2022-08-18 14:55:39 +08:00,2022-08-18 14:55:38 +08:00,
16608045739250000023407,160665,Quality Of Service,Major,2022-08-18 14:36:11,Resource at or Nearing Capacity,343,SCDB Server Overload,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 14:36:20,WITHCANCEL,true,2022-08-18 14:36:19,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=16:PoolMemberId=0:Resource_type=scdbResource:scdbOverload"", ""additional_info"": ""SCDB is in overload. Number of (successful or timeout) DB operation in this interval=[10] Sum of round trip time in this interval=[549] Average round trip time of this interval=[54.900000] Number of timeout DB operation in this interval=[0] Average raw round trip time of this interval=[54.900000] Provisioned slow RTT threshold=[12]. "", ""host"": ""s3tas01-tafe-3"", ""container"": ""d6cb52f54ee6"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58175872,2022-08-18 14:36:14,2022-08-18 14:36:11,,2022-08-18 14:36:11 +08:00,2022-08-18 14:36:11 +08:00,2022-08-18 14:36:20 +08:00,2022-08-18 14:36:19 +08:00,
16608043288560000023405,160665,Quality Of Service,Major,2022-08-18 14:32:06,Resource at or Nearing Capacity,343,SCDB Server Overload,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 14:32:16,WITHCANCEL,true,2022-08-18 14:32:14,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=16:PoolMemberId=0:Resource_type=scdbResource:scdbOverload"", ""additional_info"": ""SCDB is in overload. Number of (successful or timeout) DB operation in this interval=[23] Sum of round trip time in this interval=[290] Average round trip time of this interval=[12.608696] Number of timeout DB operation in this interval=[0] Average raw round trip time of this interval=[12.608696] Provisioned slow RTT threshold=[12]. "", ""host"": ""s3tas01-tafe-3"", ""container"": ""d6cb52f54ee6"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58175759,2022-08-18 14:32:10,2022-08-18 14:32:06,,2022-08-18 14:32:06 +08:00,2022-08-18 14:32:06 +08:00,2022-08-18 14:32:16 +08:00,2022-08-18 14:32:14 +08:00,
16608043116650000023404,160665,Quality Of Service,Major,2022-08-18 14:31:49,Resource at or Nearing Capacity,343,SCDB Server Overload,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 14:31:58,WITHCANCEL,true,2022-08-18 14:31:57,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=21:PoolMemberId=0:Resource_type=scdbResource:scdbOverload"", ""additional_info"": ""SCDB is in overload. Number of (successful or timeout) DB operation in this interval=[11] Sum of round trip time in this interval=[327] Average round trip time of this interval=[29.727273] Number of timeout DB operation in this interval=[0] Average raw round trip time of this interval=[29.727273] Provisioned slow RTT threshold=[12]. "", ""host"": ""s3tas01-tafe-4"", ""container"": ""4979ae4370f2"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58175745,2022-08-18 14:31:52,2022-08-18 14:31:49,,2022-08-18 14:31:49 +08:00,2022-08-18 14:31:49 +08:00,2022-08-18 14:31:58 +08:00,2022-08-18 14:31:57 +08:00,
16608041579740000023403,160665,Quality Of Service,Major,2022-08-18 14:29:16,Resource at or Nearing Capacity,343,SCDB Server Overload,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 14:29:24,WITHCANCEL,true,2022-08-18 14:29:23,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=16:PoolMemberId=0:Resource_type=scdbResource:scdbOverload"", ""additional_info"": ""SCDB is in overload. Number of (successful or timeout) DB operation in this interval=[12] Sum of round trip time in this interval=[179] Average round trip time of this interval=[14.916667] Number of timeout DB operation in this interval=[0] Average raw round trip time of this interval=[14.916667] Provisioned slow RTT threshold=[12]. "", ""host"": ""s3tas01-tafe-3"", ""container"": ""d6cb52f54ee6"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58175684,2022-08-18 14:29:18,2022-08-18 14:29:16,,2022-08-18 14:29:16 +08:00,2022-08-18 14:29:16 +08:00,2022-08-18 14:29:24 +08:00,2022-08-18 14:29:23 +08:00,
16608026723540000023400,160665,Quality Of Service,Major,2022-08-18 14:04:30,Resource at or Nearing Capacity,343,SCDB Server Overload,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 14:04:39,WITHCANCEL,true,2022-08-18 14:04:38,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=16:PoolMemberId=0:Resource_type=scdbResource:scdbOverload"", ""additional_info"": ""SCDB is in overload. Number of (successful or timeout) DB operation in this interval=[6] Sum of round trip time in this interval=[74] Average round trip time of this interval=[12.333333] Number of timeout DB operation in this interval=[0] Average raw round trip time of this interval=[12.333333] Provisioned slow RTT threshold=[12]. "", ""host"": ""s3tas01-tafe-3"", ""container"": ""d6cb52f54ee6"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58175033,2022-08-18 14:04:33,2022-08-18 14:04:30,,2022-08-18 14:04:30 +08:00,2022-08-18 14:04:30 +08:00,2022-08-18 14:04:39 +08:00,2022-08-18 14:04:38 +08:00,
16608024786150000023398,160665,Quality Of Service,Major,2022-08-18 14:01:16,Resource at or Nearing Capacity,343,SCDB Server Overload,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-18 14:01:24,WITHCANCEL,true,2022-08-18 14:01:23,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=6:PoolMemberId=0:Resource_type=scdbResource:scdbOverload"", ""additional_info"": ""SCDB is in overload. Number of (successful or timeout) DB operation in this interval=[2] Sum of round trip time in this interval=[40] Average round trip time of this interval=[20.000000] Number of timeout DB operation in this interval=[0] Average raw round trip time of this interval=[20.000000] Provisioned slow RTT threshold=[12]. "", ""host"": ""s3tas01-tafe-1"", ""container"": ""a2bff59333c5"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58174962,2022-08-18 14:01:19,2022-08-18 14:01:16,,2022-08-18 14:01:16 +08:00,2022-08-18 14:01:16 +08:00,2022-08-18 14:01:24 +08:00,2022-08-18 14:01:23 +08:00,
16607956890780000023386,160666,Equipment,Critical,2022-08-18 12:08:06,Link failure,517,SCDB Communication Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:13,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=21:PoolMemberId=0:Resource_type=scdbLink:scdbCommunicationFailure"", ""additional_info"": ""Connection(s) to the SCDB (internal) failed. "", ""host"": ""s3tas01-tafe-4"", ""container"": ""4979ae4370f2"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172056,2022-08-18 12:08:09,2022-08-18 12:08:06,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:13 +08:00,
16607956888140000023384,160621,Processing,Critical,2022-08-18 12:08:06,Configuration Or Customizing Error,307,IM Connection Failure,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:09,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=21:PoolMemberId=0:Resource_type=imLink:imConnectFailure"", ""additional_info"": ""Connections to 0.0.0.0 IM peer failed."", ""host"": ""s3tas01-tafe-4"", ""container"": ""4979ae4370f2"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172057,2022-08-18 12:08:09,2022-08-18 12:08:06,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:09 +08:00,
16607956887790000023383,160680,Communication,Critical,2022-08-18 12:08:06,Unavailable,14,TAFE lost connection to iCDF,PLMN-PLMN/NTAS-s3tas01/SERVICE-tafe,SERVICE,true,2022-08-19 14:00:02,cleanup,true,2022-08-18 12:08:10,,,,,null,,,,,"{""specific_problem"": ""PoolType=fs5k:PoolId=21:PoolMemberId=0:Resource_type=icdfLink:diamType=Abf:diamAppInstId=0:diamRemoteIndex=0:linkDown"", ""additional_info"": ""Connection to the iCDF <10.245.0.152> is down"", ""host"": ""s3tas01-tafe-4"", ""container"": ""4979ae4370f2"", ""process"": ""sbl.elf""}",,,,false,false,,false,1,58172058,2022-08-18 12:08:09,2022-08-18 12:08:06,,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-19 14:00:02 +08:00,2022-08-18 12:08:10 +08:00,
