Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time,Related DN's
9228,9228,Processing,Minor,2022/8/21 02:07,Indeterminate,0,ALARM DATABASE UPLOAD IN PROGRESS,PLMN-PLMN/NTAS-s3tas01,NTAS,TRUE,2022/8/21 02:07,WITHCANCEL,TRUE,2022/8/21 02:07,system,,,,null,,,,146661,,,,,FALSE,FALSE,,FALSE,1,58262049,2022/8/21 02:07,2022/8/21 02:07,,2022-08-21 02:07:35 +08:00,2022-08-21 02:07:35 +08:00,2022-08-21 02:07:58 +08:00,2022-08-21 02:07:58 +08:00,
4449047,9047,Communication,Critical,2022/8/21 02:04,Loss Of Signal,8,NE3SWS AGENT NOT RESPONDING TO REQUESTS,PLMN-PLMN/NTAS-s3tas01,NTAS,TRUE,2022/8/21 02:09,SYS_NE3SWS,TRUE,2022/8/21 02:09,SYS_NE3SWS,,,,null,,,,,"30,000 milliseconds timeout on connection http-outgoing-3326542 [ACTIVE] [URL:http://10.108.156.97:8080/NE3S/1.0/]",,,,FALSE,FALSE,,FALSE,1,58261978,2022/8/21 02:04,2022/8/21 02:04,,2022-08-21 02:04:38 +08:00,2022-08-21 02:04:38 +08:00,2022-08-21 02:09:08 +08:00,2022-08-21 02:09:08 +08:00,
9228,9228,Processing,Minor,2022/8/20 02:07,Indeterminate,0,ALARM DATABASE UPLOAD IN PROGRESS,PLMN-PLMN/NTAS-s3tas01,NTAS,TRUE,2022/8/20 02:07,WITHCANCEL,TRUE,2022/8/20 02:07,system,,,,null,,,,146500,,,,,FALSE,FALSE,,FALSE,1,58227609,2022/8/20 02:07,2022/8/20 02:07,,2022-08-20 02:07:22 +08:00,2022-08-20 02:07:22 +08:00,2022-08-20 02:07:40 +08:00,2022-08-20 02:07:40 +08:00,
4449047,9047,Communication,Critical,2022/8/20 02:04,Loss Of Signal,8,NE3SWS AGENT NOT RESPONDING TO REQUESTS,PLMN-PLMN/NTAS-s3tas01,NTAS,TRUE,2022/8/20 02:09,SYS_NE3SWS,TRUE,2022/8/20 02:09,SYS_NE3SWS,,,,null,,,,,HTTP response '504: Gateway Time-out' when communicating with http://10.108.156.97:8080/NE3S/1.0/NE3SOperationService [URL:http://10.108.156.97:8080/NE3S/1.0/],,,,FALSE,FALSE,,FALSE,1,58227551,2022/8/20 02:04,2022/8/20 02:04,,2022-08-20 02:04:39 +08:00,2022-08-20 02:04:39 +08:00,2022-08-20 02:09:09 +08:00,2022-08-20 02:09:09 +08:00,
